county_name,age_group,fertility_rate
Foster,35-39,0.19646933136521952
Golden Valley,35-39,0.20859054348643163
Grand Forks,35-39,0.24018161187533724
Grant,35-39,0.19027552517141333
Griggs,35-39,0.0942494582151138
Hettinger,35-39,0.17726222268442662
Kidder,35-39,0.22776458478436676
LaMoure,35-39,0.2390667339626221
Logan,35-39,0.1635454984413866
McHenry,35-39,0.24411823418653614
McIntosh,35-39,0.21668115837316304
McKenzie,35-39,0.25182148774126667
McLean,35-39,0.28027133444688357
Mercer,35-39,0.19885818338910805
Morton,35-39,0.20531522999214005
Mountrail,35-39,0.21692387681976497
Nelson,35-39,0.26366300725454755
Oliver,35-39,0.22710906200495015
Pembina,35-39,0.20605761542158868
Pierce,35-39,0.22861915578972206
Ramsey,35-39,0.20598637681976498
Ransom,35-39,0.16521154805264168
Renville,35-39,0.30805290907782945
Richland,35-39,0.21012968156910536
Rolette,35-39,0.241923876819765
Sargent,35-39,0.19577003066591883
Sheridan,35-39,0.07680759774999753
Sioux,35-39,0.19829453319042134
Slope,35-39,0.20859054348643163
Stark,35-39,0.2065945355023997
Steele,35-39,0.27569011058599874
Stutsman,35-39,0.16170103559413823
Towner,35-39,0.21500079989668805
Traill,35-39,0.17169486918617718
Walsh,35-39,0.25872075181976495
Ward,35-39,0.21827996298638838
Wells,35-39,0.27569011058599874
Williams,35-39,0.2420462758405728
Adams,40-44,0.03382846461825152
Barnes,40-44,0.042734337506425295
Benson,40-44,0.05697858723260274
Billings,40-44,0.00727979205187984
Bottineau,40-44,0.02218045430353547
Bowman,40-44,0.03831427481050053
Burke,40-44,0.09551508616952689
Burleigh,40-44,0.03227489105207588
Cass,40-44,0.04257196039386592
Cavalier,40-44,0.04079934512450554
Dickey,40-44,0.018600546768860974
Divide,40-44,0.024133724636149503
Dunn,40-44,0.03344258274955426
Eddy,40-44,0.047458363480451266
Emmons,40-44,0.04848858326067105
Foster,40-44,0.04804066161709723
Golden Valley,40-44,0.023763308535396325
Grand Forks,40-44,0.03630268789193143
Grant,40-44,0.0638835656367855
Griggs,40-44,0.02290479205187984
Hettinger,40-44,0.03669155675776219
Kidder,40-44,0.01881825359034138
LaMoure,40-44,0.058250665838287606
Logan,40-44,0.1651745288939851
McHenry,40-44,0.03186995598630607
McIntosh,40-44,0.039194685668901115
McKenzie,40-44,0.06171527592284759
McLean,40-44,0.03801749696991263
Mercer,40-44,0.03727979205187984
Morton,40-44,0.029901601796659422
Mountrail,40-44,0.055088556992118884
Nelson,40-44,0.07345626264011514
Oliver,40-44,0.04137070114278893
Pembina,40-44,0.058205717977805764
Pierce,40-44,0.042657150542445885
Ramsey,40-44,0.043257651830477625
Ransom,40-44,0.02213127720039469
Renville,40-44,0.017994077766165555
Richland,40-44,0.021205521494850662
Rolette,40-44,0.03665316019809394
Sargent,40-44,0.00727979205187984
Sheridan,40-44,0.03727979205187984
Sioux,40-44,0.02626713382403174
Slope,40-44,0.00727979205187984
Stark,40-44,0.049592909118170395
Steele,40-44,0.021565506337594128
Stutsman,40-44,0.03225530625364282
Towner,40-44,0.12048733922169116
Traill,40-44,0.031985674404821016
Walsh,40-44,0.04072747644296046
Ward,40-44,0.03925217271834636
Wells,40-44,0.015950312283093713
Williams,40-44,0.05109772683448854
Adams,45-49,0.00046398531126715136
Barnes,45-49,0.0029639853112671515
Benson,45-49,0.004774330138853358
Billings,45-49,0.00046398531126715136
Bottineau,45-49,0.00046398531126715136
Bowman,45-49,0.00046398531126715136
Burke,45-49,0.00046398531126715136
Burleigh,45-49,0.0027470903340982016
Cass,45-49,0.002627766935767817
Cavalier,45-49,0.00046398531126715136
Dickey,45-49,0.00046398531126715136
Divide,45-49,0.00046398531126715136
Dunn,45-49,0.006819917514656982
Eddy,45-49,0.00046398531126715136
Emmons,45-49,0.00046398531126715136
Foster,45-49,0.007745538709325403
Golden Valley,45-49,0.01770536462161198
Grand Forks,45-49,0.002705467678272531
Grant,45-49,0.00046398531126715136
Griggs,45-49,0.013395019794025772
Hettinger,45-49,0.00046398531126715136
Kidder,45-49,0.011493397075973032
LaMoure,45-49,0.015169867664208327
Logan,45-49,0.015770107760246743
McHenry,45-49,0.009109518452477525
McIntosh,45-49,0.00046398531126715136
McKenzie,45-49,0.00046398531126715136
McLean,45-49,0.00046398531126715136
Mercer,45-49,0.0031813766156149775
Morton,45-49,0.00046398531126715136
Mountrail,45-49,0.00046398531126715136
Nelson,45-49,0.00046398531126715136
Oliver,45-49,0.00046398531126715136
Pembina,45-49,0.00046398531126715136
Pierce,45-49,0.00046398531126715136
Ramsey,45-49,0.00046398531126715136
Ransom,45-49,0.00046398531126715136
Renville,45-49,0.00046398531126715136
Richland,45-49,0.0036218800481092567
Rolette,45-49,0.0021288021814114357
Sargent,45-49,0.00046398531126715136
Sheridan,45-49,0.01790584577638343
Sioux,45-49,0.006019540866822707
Slope,45-49,0.00046398531126715136
Stark,45-49,0.00046398531126715136
Steele,45-49,0.00046398531126715136
Stutsman,45-49,0.0017482318866096172
Towner,45-49,0.00046398531126715136
Traill,45-49,0.0034167412167789625
Walsh,45-49,0.00046398531126715136
Ward,45-49,0.00355403828360382
Wells,45-49,0.00046398531126715136
Williams,45-49,0.002234941627678013
