county_name,age_group,sex,adjustment
Golden Valley,40-44,male,-2.251617364576823
Grand Forks,40-44,male,-96.42452608652675
Grant,40-44,male,-2.4886297187428044
Griggs,40-44,male,-2.33062148263215
Hettinger,40-44,male,-3.1601647222130844
Kidder,40-44,male,-2.7256420729087854
LaMoure,40-44,male,-4.305724434015328
Logan,40-44,male,-1.9356008923555144
McHenry,40-44,male,-7.031366506924114
McIntosh,40-44,male,-2.4886297187428044
McKenzie,40-44,male,-24.807293069372715
McLean,40-44,male,-12.048128003437384
Mercer,40-44,male,-10.389041524275514
Morton,40-44,male,-48.86404701721982
Mountrail,40-44,male,-15.08978654856748
Nelson,40-44,male,-3.199666781240748
Oliver,40-44,male,-2.4491276597151406
Pembina,40-44,male,-8.927465340251965
Pierce,40-44,male,-4.503234729153646
Ramsey,40-44,male,-14.53675772218019
Ransom,40-44,male,-6.320329444426169
Renville,40-44,male,-3.2391688402684116
Richland,40-44,male,-19.039992451333834
Rolette,40-44,male,-13.983728895792899
Sargent,40-44,male,-4.305724434015328
Sheridan,40-44,male,-1.2245638298575703
Sioux,40-44,male,-5.609292381928225
Slope,40-44,male,-1.1455597118022431
Stark,40-44,male,-54.71035175331403
Steele,40-44,male,-2.5281317777704677
Stutsman,40-44,male,-27.33542484714318
Towner,40-44,male,-2.607135895825795
Traill,40-44,male,-8.21642827775402
Walsh,40-44,male,-12.443148593714021
Ward,40-44,male,-106.73456349274693
Wells,40-44,male,-3.397177076379066
Williams,40-44,male,-71.30121654493273
Adams,45-49,male,-1.9324979537530782
Barnes,45-49,male,-10.963967982517463
Benson,45-49,male,-6.704584737510679
Billings,45-49,male,-1.2620394800020103
Bottineau,45-49,male,-6.901778406260994
Bowman,45-49,male,-3.5889247712557166
Burke,45-49,male,-2.4846402262539575
Burleigh,45-49,male,-127.07160014270241
Cass,45-49,male,-238.56490045413
Cavalier,45-49,male,-3.2339761675051513
Dickey,45-49,male,-5.560861458758858
Divide,45-49,male,-2.8395888300045233
Dunn,45-49,male,-5.008719186257978
Eddy,45-49,male,-2.2480078237535808
Emmons,45-49,male,-2.9579050312547115
Foster,45-49,male,-3.2734149012552143
Golden Valley,45-49,male,-2.3268852912537064
Grand Forks,45-49,male,-75.8406850013708
Grant,45-49,male,-2.3663240250037694
Griggs,45-49,male,-2.011375421253204
Hettinger,45-49,male,-1.8141817525028898
Kidder,45-49,male,-2.090252888753329
LaMoure,45-49,male,-3.8649959075061564
Logan,45-49,male,-1.6564268175026384
McHenry,45-49,male,-7.848308016262502
McIntosh,45-49,male,-1.774743018752827
McKenzie,45-49,male,-18.733398531279843
McLean,45-49,male,-10.609019378766899
Mercer,45-49,male,-10.293509508766396
Morton,45-49,male,-40.70077323006483
Mountrail,45-49,male,-12.383762397519725
Nelson,45-49,male,-2.7607113625043973
Oliver,45-49,male,-2.2085690900035178
Pembina,45-49,male,-7.532798146261999
Pierce,45-49,male,-4.4171381800070355
Ramsey,45-49,male,-11.91049759251897
Ransom,45-49,male,-6.4679523350103025
Renville,45-49,male,-1.8141817525028898
Richland,45-49,male,-18.733398531279843
Rolette,45-49,male,-11.831620125018846
Sargent,45-49,male,-5.60030019250892
Sheridan,45-49,male,-1.577549350002513
Sioux,45-49,male,-4.33826071250691
Slope,45-49,male,-1.064845811251696
Stark,45-49,male,-40.81908943131502
Steele,45-49,male,-1.971936687503141
Stutsman,45-49,male,-27.094410086293156
Towner,45-49,male,-1.6564268175026384
Traill,45-49,male,-7.729991815012313
Walsh,45-49,male,-11.003406716267527
Ward,45-49,male,-78.68027383137533
Wells,45-49,male,-2.9579050312547115
Williams,45-49,male,-54.70152371133713
Adams,50-54,male,-1.804676283391625
Barnes,50-54,male,-11.730395842045564
Benson,50-54,male,-5.257100477706039
Billings,50-54,male,-0.8631060485786033
Bottineau,50-54,male,-6.7479200161599895
Bowman,50-54,male,-2.746246518204647
Burke,50-54,male,-2.785478611321856
Burleigh,50-54,male,-108.94752258649007
Cass,50-54,male,-199.69135396659505
Cavalier,50-54,male,-3.9624414048381333
Dickey,50-54,male,-5.17863629147162
Divide,50-54,male,-2.3539255870325544
Dunn,50-54,male,-5.100172105237201
Eddy,50-54,male,-2.1969972145637175
Emmons,50-54,male,-3.0208711700251114
Foster,50-54,male,-3.7662809392520873
Golden Valley,50-54,male,-1.5300516315711605
Grand Forks,50-54,male,-67.28303969601384
Grant,50-54,male,-2.4716218663841825
Griggs,50-54,male,-2.1577651214465083
Hettinger,50-54,male,-1.961604655860462
Kidder,50-54,male,-2.4716218663841825
LaMoure,50-54,male,-3.8447451254865057
Logan,50-54,male,-1.9223725627432529
McHenry,50-54,male,-5.531725129526503
McIntosh,50-54,male,-1.9223725627432529
McKenzie,50-54,male,-17.262120971572067
McLean,50-54,male,-10.671129327880912
Mercer,50-54,male,-8.78798885825487
Morton,50-54,male,-37.07432799576274
Mountrail,50-54,male,-10.90652188658417
Nelson,50-54,male,-2.58931814573581
Oliver,50-54,male,-2.07930093521209
Pembina,50-54,male,-6.669455829925571
Pierce,50-54,male,-4.393994429127435
Ramsey,50-54,male,-10.671129327880912
Ransom,50-54,male,-6.630223736808362
Renville,50-54,male,-2.667782331970228
Richland,50-54,male,-15.614373060649278
Rolette,50-54,male,-12.358109331920913
Sargent,50-54,male,-4.707851174065109
Sheridan,50-54,male,-1.2161948866334864
Sioux,50-54,male,-3.687816753017669
Slope,50-54,male,-0.5100172105237202
Stark,50-54,male,-35.93659729536366
Steele,50-54,male,-2.3539255870325544
Stutsman,50-54,male,-22.009204238754382
Towner,50-54,male,-1.4515874453367419
Traill,50-54,male,-9.141077696309754
Walsh,50-54,male,-11.612699562693935
Ward,50-54,male,-69.63696528304641
Wells,50-54,male,-3.2954958218455763
Williams,50-54,male,-48.8047238378083
Adams,55-59,male,-2.5027561684725357
Barnes,55-59,male,-12.161830756171227
Benson,55-59,male,-5.904940334989889
Billings,55-59,male,-1.173166953971501
Bottineau,55-59,male,-6.687051637637556
Bowman,55-59,male,-2.8938118197963694
Burke,55-59,male,-2.776495124399219
Burleigh,55-59,male,-107.30567072325995
Cass,55-59,male,-188.17597941702877
Cavalier,55-59,male,-3.9887676435031034
Dickey,55-59,male,-5.592095813930822
Divide,55-59,male,-2.033489386883935
Dunn,55-59,male,-4.888195641547921
Eddy,55-59,male,-2.2681227776782356
Emmons,55-59,male,-3.284867471120203
Foster,55-59,male,-3.793239817841187
Golden Valley,55-59,male,-1.5642226052953347
Grand Forks,55-59,male,-66.12751063886027
Grant,55-59,male,-2.1508060822810853
Griggs,55-59,male,-2.8938118197963694
Hettinger,55-59,male,-2.5809672987373022
Kidder,55-59,male,-3.206656340855436
LaMoure,55-59,male,-4.575351120488854
Logan,55-59,male,-2.307228342810619
McHenry,55-59,male,-6.60884050737279
McIntosh,55-59,male,-2.6982839941344525
McKenzie,55-59,male,-16.189703964806714
McLean,55-59,male,-10.910452671934959
Mercer,55-59,male,-9.541757892301543
Morton,55-59,male,-36.17264774745462
Mountrail,55-59,male,-11.066874932464493
Nelson,55-59,male,-2.9329173849287526
Oliver,55-59,male,-2.1899116474134686
Pembina,55-59,male,-7.117212854093773
Pierce,55-59,male,-4.340717729694553
Ramsey,55-59,male,-11.770775104847393
Ransom,55-59,male,-6.921685028431856
Renville,55-59,male,-3.0893396454582858
Richland,55-59,male,-17.6366098747049
Rolette,55-59,male,-12.083619625906461
Sargent,55-59,male,-4.888195641547921
Sheridan,55-59,male,-2.2681227776782356
Sioux,55-59,male,-3.9887676435031034
Slope,55-59,male,-0.6256890421181339
Stark,55-59,male,-35.546958705336486
Steele,55-59,male,-2.307228342810619
Stutsman,55-59,male,-25.65325072684349
Towner,55-59,male,-3.1284452105906695
Traill,55-59,male,-8.290379808065275
Walsh,55-59,male,-12.748414233156979
Ward,55-59,male,-65.42361046647737
Wells,55-59,male,-5.357462423136521
Williams,55-59,male,-46.02725016081523
Adams,60-64,male,-3.4745667789528567
Barnes,60-64,male,-14.824818256865521
Benson,60-64,male,-5.906763524219856
Billings,60-64,male,-1.5056456042129045
Bottineau,60-64,male,-9.690180683524078
Bowman,60-64,male,-4.130873837199507
Burke,60-64,male,-3.8220234568481426
Burleigh,60-64,male,-114.81512889561995
Cass,60-64,male,-192.7612436367957
Cavalier,60-64,male,-5.52070054878065
Dickey,60-64,male,-6.177007607027301
Divide,60-64,male,-3.937842349479904
Dunn,60-64,male,-5.906763524219856
Eddy,60-64,male,-3.320141588777174
Emmons,60-64,male,-6.7561020701861105
Foster,60-64,male,-5.597913143868491
Golden Valley,60-64,male,-2.161952662459555
Grand Forks,60-64,male,-75.2436739131013
Grant,60-64,male,-3.7834171593042214
Griggs,60-64,male,-2.818259720706206
Hettinger,60-64,male,-3.976448647023825
Kidder,60-64,male,-3.320141588777174
LaMoure,60-64,male,-6.6016768800104275
Logan,60-64,male,-2.895472315794047
McHenry,60-64,male,-7.91429099650373
McIntosh,60-64,male,-3.435960481408936
McKenzie,60-64,male,-17.063983514412918
McLean,60-64,male,-12.585652999318125
Mercer,60-64,male,-13.357778950196536
Morton,60-64,male,-42.93020286883974
Mountrail,60-64,male,-12.431227809142442
Nelson,60-64,male,-4.362511622463031
Oliver,60-64,male,-3.2043226961454123
Pembina,60-64,male,-10.771157014753856
Pierce,60-64,male,-6.408645392290825
Ramsey,60-64,male,-16.755133134061552
Ransom,60-64,male,-8.840842137557825
Renville,60-64,male,-3.976448647023825
Richland,60-64,male,-22.198621087754365
Rolette,60-64,male,-15.172274934760807
Sargent,60-64,male,-6.6016768800104275
Sheridan,60-64,male,-1.8531022821081902
Sioux,60-64,male,-4.748574597902238
Slope,60-64,male,-0.6563070582466507
Stark,60-64,male,-40.18915574322138
Steele,60-64,male,-2.818259720706206
Stutsman,60-64,male,-29.919880596538487
Towner,60-64,male,-4.594149407726555
Traill,60-64,male,-12.31540891651068
Walsh,60-64,male,-16.52349534879803
Ward,60-64,male,-75.43670540082091
Wells,60-64,male,-6.79470836773003
Williams,60-64,male,-48.798360095515676
Adams,65-69,male,-3.7704431137591103
Barnes,65-69,male,-17.938168753338797
Benson,65-69,male,-8.454933042974975
Billings,65-69,male,-1.5995819270493195
