county,age_group,sex,population,year
Towner,55-59,Male,119.0,2020
Traill,55-59,Male,319.0,2020
Walsh,55-59,Male,428.0,2020
Ward,55-59,Male,1954.0,2020
Wells,55-59,Male,176.0,2020
Williams,55-59,Male,1264.0,2020
Adams,60-64,Male,99.0,2020
Barnes,60-64,Male,471.0,2020
Benson,60-64,Male,222.0,2020
Billings,60-64,Male,42.0,2020
Bottineau,60-64,Male,275.0,2020
Bowman,60-64,Male,137.0,2020
Burke,60-64,Male,100.0,2020
Burleigh,60-64,Male,3065.0,2020
Cass,60-64,Male,4577.0,2020
Cavalier,60-64,Male,162.0,2020
Dickey,60-64,Male,197.0,2020
Divide,60-64,Male,98.0,2020
Dunn,60-64,Male,166.0,2020
Eddy,60-64,Male,106.0,2020
Emmons,60-64,Male,170.0,2020
Foster,60-64,Male,164.0,2020
Golden Valley,60-64,Male,56.0,2020
Grand Forks,60-64,Male,1990.0,2020
Grant,60-64,Male,98.0,2020
Griggs,60-64,Male,84.0,2020
Hettinger,60-64,Male,101.0,2020
Kidder,60-64,Male,104.0,2020
LaMoure,60-64,Male,173.0,2020
Logan,60-64,Male,88.0,2020
McHenry,60-64,Male,232.0,2020
McIntosh,60-64,Male,142.0,2020
McKenzie,60-64,Male,389.0,2020
McLean,60-64,Male,453.0,2020
Mercer,60-64,Male,420.0,2020
Morton,60-64,Male,1159.0,2020
Mountrail,60-64,Male,325.0,2020
Nelson,60-64,Male,152.0,2020
Oliver,60-64,Male,83.0,2020
Pembina,60-64,Male,318.0,2020
Pierce,60-64,Male,156.0,2020
Ramsey,60-64,Male,445.0,2020
Ransom,60-64,Male,187.0,2020
Renville,60-64,Male,109.0,2020
Richland,60-64,Male,692.0,2020
Rolette,60-64,Male,387.0,2020
Sargent,60-64,Male,150.0,2020
Sheridan,60-64,Male,62.0,2020
Sioux,60-64,Male,86.0,2020
Slope,60-64,Male,51.0,2020
Stark,60-64,Male,1034.0,2020
Steele,60-64,Male,88.0,2020
Stutsman,60-64,Male,873.0,2020
Towner,60-64,Male,115.0,2020
Traill,60-64,Male,284.0,2020
Walsh,60-64,Male,443.0,2020
Ward,60-64,Male,1828.0,2020
Wells,60-64,Male,189.0,2020
Williams,60-64,Male,1171.0,2020
Adams,65-69,Male,101.0,2020
Barnes,65-69,Male,387.0,2020
Benson,65-69,Male,177.0,2020
Billings,65-69,Male,39.0,2020
Bottineau,65-69,Male,259.0,2020
Bowman,65-69,Male,125.0,2020
Burke,65-69,Male,76.0,2020
Burleigh,65-69,Male,2535.0,2020
Cass,65-69,Male,4024.0,2020
Cavalier,65-69,Male,148.0,2020
Dickey,65-69,Male,163.0,2020
Divide,65-69,Male,83.0,2020
Dunn,65-69,Male,140.0,2020
Eddy,65-69,Male,98.0,2020
Emmons,65-69,Male,158.0,2020
Foster,65-69,Male,111.0,2020
Golden Valley,65-69,Male,88.0,2020
Grand Forks,65-69,Male,1636.0,2020
Grant,65-69,Male,113.0,2020
Griggs,65-69,Male,130.0,2020
Hettinger,65-69,Male,105.0,2020
Kidder,65-69,Male,118.0,2020
LaMoure,65-69,Male,182.0,2020
Logan,65-69,Male,58.0,2020
McHenry,65-69,Male,200.0,2020
McIntosh,65-69,Male,117.0,2020
McKenzie,65-69,Male,283.0,2020
McLean,65-69,Male,446.0,2020
Mercer,65-69,Male,313.0,2020
Morton,65-69,Male,936.0,2020
Mountrail,65-69,Male,274.0,2020
Nelson,65-69,Male,133.0,2020
Oliver,65-69,Male,87.0,2020
Pembina,65-69,Male,305.0,2020
Pierce,65-69,Male,150.0,2020
Ramsey,65-69,Male,374.0,2020
Ransom,65-69,Male,232.0,2020
Renville,65-69,Male,97.0,2020
Richland,65-69,Male,548.0,2020
Rolette,65-69,Male,283.0,2020
Sargent,65-69,Male,181.0,2020
Sheridan,65-69,Male,60.0,2020
Sioux,65-69,Male,63.0,2020
