county,period_start,period_end,deaths
Emmons,2040,2045,6.581857000213176
Foster,2040,2045,-10.875294130681596
Golden Valley,2040,2045,0.391720501547411
Grand Forks,2040,2045,-1743.0117658408053
Grant,2040,2045,13.331092179072357
Griggs,2040,2045,45.29215760271131
Hettinger,2040,2045,-5.007618111399324
Kidder,2040,2045,4.690153927107417
LaMoure,2040,2045,-38.31168799442548
Logan,2040,2045,-41.234051103535194
McHenry,2040,2045,-34.94839195644272
McIntosh,2040,2045,46.2717366429971
McKenzie,2040,2045,-1516.9504791978106
McLean,2040,2045,-64.41676151567981
Mercer,2040,2045,-21.60878420079507
Morton,2040,2045,-753.8357505180174
Mountrail,2040,2045,-567.0688490688372
Nelson,2040,2045,43.978626679856916
Oliver,2040,2045,-10.895968554896285
Pembina,2040,2045,102.46613863222547
Pierce,2040,2045,-21.318246719727995
Ramsey,2040,2045,-77.17633757542808
Ransom,2040,2045,-22.638679868408417
Renville,2040,2045,-21.1935163226849
Richland,2040,2045,24.270801792174097
Rolette,2040,2045,-669.0415020239834
Sargent,2040,2045,5.958494497244146
Sheridan,2040,2045,26.28032338089031
Sioux,2040,2045,-288.0323138441215
Slope,2040,2045,-3.773718760457598
Stark,2040,2045,-1213.5031094884143
Steele,2040,2045,14.752540349023434
Stutsman,2040,2045,-1.8058402460537764
Towner,2040,2045,-18.487193027007947
Traill,2040,2045,-57.219639706259386
Walsh,2040,2045,-100.87905118832896
Ward,2040,2045,-2536.785882710232
Wells,2040,2045,62.84227766459048
Williams,2040,2045,-3521.137380979686
Adams,2045,2050,5.760405743690512
Barnes,2045,2050,103.80306946223072
Benson,2045,2050,-459.4287754850707
Billings,2045,2050,-20.658864055830918
Bottineau,2045,2050,-35.96760683354978
Bowman,2045,2050,-43.696989234239254
Burke,2045,2050,-132.5820941256136
Burleigh,2045,2050,-1149.9665303316215
Cass,2045,2050,-5196.2265459878545
Cavalier,2045,2050,-36.12367825452429
Dickey,2045,2050,-35.32653780136707
Divide,2045,2050,-55.123988857042605
Dunn,2045,2050,-166.41180379976186
Eddy,2045,2050,-21.77554975706107
Emmons,2045,2050,14.845710302822681
Foster,2045,2050,-15.311845407819874
Golden Valley,2045,2050,0.9544720069166033
Grand Forks,2045,2050,-1821.4067302371259
Grant,2045,2050,4.489359286269746
Griggs,2045,2050,22.38861689816099
Hettinger,2045,2050,-40.35836818386497
Kidder,2045,2050,-9.84819941179444
LaMoure,2045,2050,-38.39291380516761
Logan,2045,2050,-39.09942370067506
McHenry,2045,2050,-48.28889525147679
McIntosh,2045,2050,40.04404749108869
McKenzie,2045,2050,-1898.873971135159
McLean,2045,2050,-139.07144949060148
Mercer,2045,2050,-34.44602961215105
Morton,2045,2050,-831.103413640576
Mountrail,2045,2050,-636.0878887542685
Nelson,2045,2050,20.097371128471877
Oliver,2045,2050,-22.30952941318276
Pembina,2045,2050,72.690885453781
Pierce,2045,2050,-8.787824558747161
Ramsey,2045,2050,-104.82376812222992
Ransom,2045,2050,-18.58989651017282
Renville,2045,2050,-18.998333301055936
Richland,2045,2050,37.611859811069735
Rolette,2045,2050,-635.770599141636
Sargent,2045,2050,-2.737866555401297
Sheridan,2045,2050,8.12614969084342
Sioux,2045,2050,-282.6024857268271
Slope,2045,2050,-6.6822343256106365
Stark,2045,2050,-1442.5426870774172
Steele,2045,2050,-10.45291010958897
Stutsman,2045,2050,-1.1918145262116013
Towner,2045,2050,-16.217331077213544
Traill,2045,2050,-31.964287998192958
Walsh,2045,2050,-134.6251389211784
Ward,2045,2050,-2677.712964009297
Wells,2045,2050,27.656080142753808
Williams,2045,2050,-4321.899051678629
