county,period_start,period_end,births
Morton,2040,2045,2638.3120618957155
Mountrail,2040,2045,1068.7686224815066
Nelson,2040,2045,142.3190661889645
Oliver,2040,2045,129.78915215512845
Pembina,2040,2045,288.41879305216423
Pierce,2040,2045,220.85439184162234
Ramsey,2040,2045,695.9760120589061
Ransom,2040,2045,351.9945548983414
Renville,2040,2045,133.5849425912731
Richland,2040,2045,818.6136515406165
Rolette,2040,2045,1052.035143573875
Sargent,2040,2045,200.41404962499857
Sheridan,2040,2045,65.12076599210491
Sioux,2040,2045,401.80822689494937
Slope,2040,2045,50.52057358846458
Stark,2040,2045,3189.77002652001
Steele,2040,2045,98.37530213835393
Stutsman,2040,2045,1094.1663411184097
Towner,2040,2045,133.33217179076127
Traill,2040,2045,451.4408079179089
Walsh,2040,2045,667.520853523794
Ward,2040,2045,5761.153297985445
Wells,2040,2045,200.1679695285407
Williams,2040,2045,6349.949283044905
Adams,2045,2050,123.65124177715329
Barnes,2045,2050,450.4755836141748
Benson,2045,2050,642.8285213919852
Billings,2045,2050,109.90105413918998
Bottineau,2045,2050,343.1171101165803
Bowman,2045,2050,198.0790113467187
Burke,2045,2050,235.2655239262223
Burleigh,2045,2050,7231.574625221148
Cass,2045,2050,15934.884737238732
Cavalier,2045,2050,236.3485940553083
Dickey,2045,2050,250.20771242426048
Divide,2045,2050,179.85857739648407
Dunn,2045,2050,393.94517423728445
Eddy,2045,2050,146.32673233488285
Emmons,2045,2050,151.61839256661423
Foster,2045,2050,203.3786009989022
Golden Valley,2045,2050,95.7817604589157
Grand Forks,2045,2050,5201.9331911038835
Grant,2045,2050,124.07889298532699
Griggs,2045,2050,114.43684296051232
Hettinger,2045,2050,198.27660112257678
Kidder,2045,2050,128.09235713860815
LaMoure,2045,2050,260.80486492830676
Logan,2045,2050,134.89209352154927
McHenry,2045,2050,291.4742154635084
McIntosh,2045,2050,97.9120868366669
McKenzie,2045,2050,3622.386530074732
McLean,2045,2050,681.9235488270895
Mercer,2045,2050,489.901798604924
Morton,2045,2050,2801.3213314278005
Mountrail,2045,2050,1141.3934054206898
Nelson,2045,2050,138.56481005509517
Oliver,2045,2050,125.307293686404
Pembina,2045,2050,281.7524476106263
Pierce,2045,2050,198.88362152413745
Ramsey,2045,2050,678.2457966065909
Ransom,2045,2050,328.6802594688592
Renville,2045,2050,126.56700756489494
Richland,2045,2050,764.882350519339
Rolette,2045,2050,962.6214584543052
Sargent,2045,2050,196.23481375611286
Sheridan,2045,2050,56.92468521617977
Sioux,2045,2050,374.95344688022345
Slope,2045,2050,49.49236261589167
Stark,2045,2050,3594.043167114217
Steele,2045,2050,110.56755231949569
Stutsman,2045,2050,1032.2117565973301
Towner,2045,2050,114.7669742361466
Traill,2045,2050,417.51225809939115
Walsh,2045,2050,641.957252151374
Ward,2045,2050,5985.738329576968
Wells,2045,2050,192.35606875994736
Williams,2045,2050,8002.182289237457
