county_name,age_group,sex,migration_rate
Slope,85+,male,0.06681717957208708
Stark,85+,male,-0.0543237773831218
Steele,85+,male,-0.23310256754339592
Stutsman,85+,male,-0.1390810541123846
Towner,85+,male,-0.31574587055495645
Traill,85+,male,-0.15565079303761292
Walsh,85+,male,-0.19772907111414426
Ward,85+,male,-0.1592176712802909
Wells,85+,male,-0.1688029841689909
Williams,85+,male,-0.17307990769411946
Adams,0-4,female,0.07566918263461642
Barnes,0-4,female,0.16099121882562012
Benson,0-4,female,0.15218135841374952
Billings,0-4,female,0.09525036858257989
Bottineau,0-4,female,0.15598452057205803
Bowman,0-4,female,0.21351064944626508
Burke,0-4,female,0.3182245506538398
Burleigh,0-4,female,0.11548238484353057
Cass,0-4,female,0.06920846998874826
Cavalier,0-4,female,0.2960134456777095
Dickey,0-4,female,0.14958891460579415
Divide,0-4,female,0.3607858940065793
Dunn,0-4,female,0.1574366255852992
Eddy,0-4,female,0.09557990295092302
Emmons,0-4,female,0.4293374486423013
Foster,0-4,female,0.1627090390770798
Golden Valley,0-4,female,0.09578709145642589
Grand Forks,0-4,female,-0.05537546062389527
Grant,0-4,female,0.32559812544884836
Griggs,0-4,female,0.3102989731751585
Hettinger,0-4,female,0.22408644997203783
Kidder,0-4,female,0.21832077593989344
LaMoure,0-4,female,0.11976185820780129
Logan,0-4,female,0.167807104153066
McHenry,0-4,female,0.055463988121531575
McIntosh,0-4,female,0.14805239697404804
McKenzie,0-4,female,0.7064658875890214
McLean,0-4,female,0.1821546715310588
Mercer,0-4,female,0.22426151947845022
Morton,0-4,female,0.15233069595800566
Mountrail,0-4,female,0.2558802504185943
Nelson,0-4,female,0.20965486759035512
Oliver,0-4,female,0.23873721452458363
Pembina,0-4,female,0.057754743770401434
Pierce,0-4,female,0.41167650711594933
Ramsey,0-4,female,0.16454190300047275
Ransom,0-4,female,0.15960120622590934
Renville,0-4,female,0.1864557129732657
Richland,0-4,female,0.1916867077579854
Rolette,0-4,female,0.1895182876293633
Sargent,0-4,female,0.18140481255752022
Sheridan,0-4,female,0.022768342982970907
Sioux,0-4,female,0.25300856024513085
Slope,0-4,female,0.28214622325278965
Stark,0-4,female,0.09702958671299206
Steele,0-4,female,0.19547291949785273
Stutsman,0-4,female,0.115221199013278
Towner,0-4,female,0.14445554577317304
Traill,0-4,female,0.14082856854682205
Walsh,0-4,female,0.09525282816352354
Ward,0-4,female,0.04604229169280231
Wells,0-4,female,0.21265684327002915
Williams,0-4,female,0.2645610213197222
Adams,5-9,female,0.09619015455686772
Barnes,5-9,female,0.052498944707831896
Benson,5-9,female,-0.0670209757748795
Billings,5-9,female,0.2932220595993334
Bottineau,5-9,female,0.13661545670350903
Bowman,5-9,female,0.09883529161021758
Burke,5-9,female,0.1262185438353863
Burleigh,5-9,female,0.07860278110225953
Cass,5-9,female,0.009450047133046112
Cavalier,5-9,female,0.06653070660559487
Dickey,5-9,female,0.08604809830160141
Divide,5-9,female,0.10278123260689329
Dunn,5-9,female,0.1740878914895383
Eddy,5-9,female,0.15814018129037832
Emmons,5-9,female,0.11858411167449726
Foster,5-9,female,0.15653840260822469
Golden Valley,5-9,female,0.061398425029154935
Grand Forks,5-9,female,-0.06739733981889284
Grant,5-9,female,0.10558630056655603
Griggs,5-9,female,0.026184845045589687
Hettinger,5-9,female,0.2366610106506298
Kidder,5-9,female,-0.027412538074380675
LaMoure,5-9,female,0.04134174175051593
Logan,5-9,female,0.2529194000835442
McHenry,5-9,female,0.20169083138265548
McIntosh,5-9,female,-0.05232810045125556
McKenzie,5-9,female,0.42104792030037175
McLean,5-9,female,0.15671054387099964
Mercer,5-9,female,0.14010608387872167
Morton,5-9,female,0.06634972607946885
Mountrail,5-9,female,0.04405683239744481
Nelson,5-9,female,0.1414689873154215
Oliver,5-9,female,0.21510697443242716
Pembina,5-9,female,0.028475680464750422
Pierce,5-9,female,0.04174547515532973
Ramsey,5-9,female,-0.012250372140576025
Ransom,5-9,female,0.0643021100283349
Renville,5-9,female,0.03478854175601665
Richland,5-9,female,-0.008657207096326353
Rolette,5-9,female,-0.05458852717755329
Sargent,5-9,female,0.11674978128786948
Sheridan,5-9,female,0.15228456223729459
Sioux,5-9,female,0.02560329549148518
Slope,5-9,female,0.13144357263384737
Stark,5-9,female,0.13649585654072902
Steele,5-9,female,0.08599087050740245
Stutsman,5-9,female,0.01792453509668724
Towner,5-9,female,0.14268916999799644
Traill,5-9,female,0.042217720498880076
Walsh,5-9,female,-0.019028111246423188
Ward,5-9,female,-0.09805667455234772
Wells,5-9,female,0.10297452621652428
Williams,5-9,female,0.26699456853047204
Adams,10-14,female,-0.002146954358000346
Barnes,10-14,female,0.03778528430958601
Benson,10-14,female,-0.0521269896646224
Billings,10-14,female,0.021890504087121475
Bottineau,10-14,female,0.04584967564159591
Bowman,10-14,female,0.10929170084938741
Burke,10-14,female,0.1428684438253888
Burleigh,10-14,female,0.09605414382826295
Cass,10-14,female,0.026972369202905827
Cavalier,10-14,female,0.005571592071768942
Dickey,10-14,female,0.029450134661682822
Divide,10-14,female,0.11816021789408539
Dunn,10-14,female,0.1760938311134716
Eddy,10-14,female,0.07641224458313756
Emmons,10-14,female,0.01407132749133947
Foster,10-14,female,0.08333658159194643
