county_name,age_group,sex,population
Walsh,60-64,male,443
Ward,60-64,male,1828
Wells,60-64,male,189
Williams,60-64,male,1171
Adams,65-69,male,101
Barnes,65-69,male,387
Benson,65-69,male,177
Billings,65-69,male,39
Bottineau,65-69,male,259
Bowman,65-69,male,125
Burke,65-69,male,76
Burleigh,65-69,male,2535
Cass,65-69,male,4024
Cavalier,65-69,male,148
Dickey,65-69,male,163
Divide,65-69,male,83
Dunn,65-69,male,140
Eddy,65-69,male,98
Emmons,65-69,male,158
Foster,65-69,male,111
Golden Valley,65-69,male,88
Grand Forks,65-69,male,1636
Grant,65-69,male,113
Griggs,65-69,male,130
Hettinger,65-69,male,105
Kidder,65-69,male,118
LaMoure,65-69,male,182
Logan,65-69,male,58
McHenry,65-69,male,200
McIntosh,65-69,male,117
McKenzie,65-69,male,283
McLean,65-69,male,446
Mercer,65-69,male,313
Morton,65-69,male,936
Mountrail,65-69,male,274
Nelson,65-69,male,133
Oliver,65-69,male,87
Pembina,65-69,male,305
Pierce,65-69,male,150
Ramsey,65-69,male,374
Ransom,65-69,male,232
Renville,65-69,male,97
Richland,65-69,male,548
Rolette,65-69,male,283
Sargent,65-69,male,181
Sheridan,65-69,male,60
Sioux,65-69,male,63
Slope,65-69,male,39
Stark,65-69,male,737
Steele,65-69,male,81
Stutsman,65-69,male,709
Towner,65-69,male,95
Traill,65-69,male,283
Walsh,65-69,male,379
Ward,65-69,male,1556
Wells,65-69,male,167
Williams,65-69,male,757
Adams,70-74,male,80
Barnes,70-74,male,296
Benson,70-74,male,118
Billings,70-74,male,27
Bottineau,70-74,male,218
Bowman,70-74,male,65
Burke,70-74,male,61
Burleigh,70-74,male,1920
Cass,70-74,male,2818
Cavalier,70-74,male,134
Dickey,70-74,male,126
Divide,70-74,male,76
Dunn,70-74,male,87
Eddy,70-74,male,78
Emmons,70-74,male,106
Foster,70-74,male,82
Golden Valley,70-74,male,44
Grand Forks,70-74,male,1216
Grant,70-74,male,94
Griggs,70-74,male,75
Hettinger,70-74,male,85
Kidder,70-74,male,69
LaMoure,70-74,male,120
Logan,70-74,male,40
McHenry,70-74,male,159
McIntosh,70-74,male,67
McKenzie,70-74,male,149
McLean,70-74,male,323
Mercer,70-74,male,207
Morton,70-74,male,690
Mountrail,70-74,male,169
Nelson,70-74,male,124
Oliver,70-74,male,71
Pembina,70-74,male,227
Pierce,70-74,male,107
