category,horizon,method,origin_year,mean_signed_pct_error,median_signed_pct_error,std_pct_error,n_counties,n_obs
Reservation,6,m2026,2010,-5.863566666666667,-5.8776,0.3358699500302657,3,3
Reservation,6,m2026,2015,21.850466666666666,22.7304,3.51607284528255,3,3
Reservation,6,sdc_2024,2005,-4.211233333333333,-3.4798,1.4699372923132925,3,3
Reservation,6,sdc_2024,2010,-6.379933333333334,-6.5212,0.6353892140517757,3,3
Reservation,6,sdc_2024,2015,19.541,19.7808,2.8283345841678638,3,3
Reservation,7,m2026,2005,-5.2804,-5.4956,1.778193420300503,3,3
Reservation,7,m2026,2010,-6.910833333333334,-6.5943,0.7860482830802019,3,3
Reservation,7,m2026,2015,23.044466666666665,24.9083,5.16827351088672,3,3
Reservation,7,sdc_2024,2005,-5.852833333333333,-5.8768,1.8208682992828813,3,3
Reservation,7,sdc_2024,2010,-7.429866666666666,-7.3113,0.9665198618410973,3,3
Reservation,7,sdc_2024,2015,20.42106666666667,21.5079,4.299245343468239,3,3
Reservation,8,m2026,2005,-7.2436333333333325,-7.8279,1.8734246964672299,3,3
Reservation,8,m2026,2010,-7.1809666666666665,-7.3984,0.8471430477394792,3,3
Reservation,8,m2026,2015,24.12196666666667,26.6239,6.100734529819614,3,3
Reservation,8,sdc_2024,2005,-7.862066666666666,-8.2611,1.8946321076486943,3,3
Reservation,8,sdc_2024,2010,-7.695833333333334,-8.0411,0.6634953604459745,3,3
Reservation,8,sdc_2024,2015,21.194599999999998,22.7797,5.084273518409487,3,3
Reservation,9,m2026,2005,-9.577966666666667,-10.3623,1.8698386276182586,3,3
Reservation,9,m2026,2010,-6.832133333333332,-6.6633,2.0820902534072174,3,3
Reservation,9,m2026,2015,24.010900000000003,25.1903,6.260382617699975,3,3
Reservation,9,sdc_2024,2005,-10.236066666666666,-10.8286,1.8721971219220832,3,3
Reservation,9,sdc_2024,2010,-7.332999999999999,-7.2883,1.8721502690756424,3,3
Reservation,9,sdc_2024,2015,20.823833333333337,21.0039,5.286400553621844,3,3
Reservation,10,m2026,2005,-10.231,-11.21,2.1349658334502695,3,3
Reservation,10,m2026,2010,7.2286,5.61,3.8068690324202112,3,3
Reservation,10,sdc_2024,2005,-10.936633333333333,-11.7008,2.115241102884806,3,3
Reservation,10,sdc_2024,2010,6.689066666666666,5.3227,3.721393081002507,3,3
Reservation,11,m2026,2005,-9.763733333333334,-9.9153,2.2652561540217335,3,3
Reservation,11,m2026,2010,9.620433333333333,8.3699,2.290063766215547,3,3
Reservation,11,sdc_2024,2005,-10.444866666666668,-10.4202,2.344497322099843,3,3
Reservation,11,sdc_2024,2010,8.953933333333334,7.927,2.2345098038123115,3,3
Reservation,12,m2026,2005,-10.882366666666668,-11.9122,2.331568266925361,3,3
Reservation,12,m2026,2010,10.088566666666667,9.389,3.182154732776729,3,3
Reservation,12,sdc_2024,2005,-11.522633333333332,-12.395,2.3899045427241083,3,3
Reservation,12,sdc_2024,2010,9.314733333333335,8.4532,3.1050730383250786,3,3
Reservation,13,m2026,2005,-11.264433333333335,-11.677,1.3760453347667485,3,3
Reservation,13,m2026,2010,10.444866666666666,10.1131,3.67848805942514,3,3
Reservation,13,sdc_2024,2005,-11.860966666666664,-12.1311,1.490375329684887,3,3
Reservation,13,sdc_2024,2010,9.5769,9.07,3.6365436488512004,3,3
Reservation,14,m2026,2005,-11.058933333333334,-11.1347,0.25117213884770984,3,3
Reservation,14,m2026,2010,9.758666666666668,8.0895,4.1732986381678145,3,3
Reservation,14,sdc_2024,2005,-11.606266666666668,-11.5411,0.41668950470744176,3,3
Reservation,14,sdc_2024,2010,8.818466666666668,6.9817,4.230586231638983,3,3
Reservation,15,m2026,2005,2.2337666666666665,3.5695,2.5365315715230774,3,3
Reservation,15,sdc_2024,2005,1.6749999999999998,2.9533,2.374857736791827,3,3
Reservation,16,m2026,2005,4.3998,4.2388,1.831913838039333,3,3
Reservation,16,sdc_2024,2005,3.8494333333333333,3.3733,1.915019901550199,3,3
Reservation,17,m2026,2005,4.686066666666666,5.218,0.990805048096412,3,3
Reservation,17,sdc_2024,2005,4.167666666666666,4.3693,1.0036571742050835,3,3
Reservation,18,m2026,2005,4.867633333333333,4.951,0.8272066871908941,3,3
