fips,age_group,sex,race,proportion
38003,40-44,female,black_nonhispanic,0.0004630487127245786
38003,40-44,male,aian_nonhispanic,0.00027782922763474715
38003,40-44,female,aian_nonhispanic,0.0003704389701796629
38003,40-44,male,asian_nonhispanic,0.0003704389701796629
38003,40-44,female,asian_nonhispanic,0.0014817558807186516
38003,40-44,male,multiracial_nonhispanic,0.00027782922763474715
38003,40-44,female,multiracial_nonhispanic,0.0006482681978144101
38003,40-44,male,hispanic,0.0011113169105389886
38003,40-44,female,hispanic,0.0003704389701796629
38003,45-49,male,white_nonhispanic,0.02574550842748657
38003,45-49,female,white_nonhispanic,0.021763289498055196
38003,45-49,male,black_nonhispanic,0.0006482681978144101
38003,45-49,female,black_nonhispanic,0.00018521948508983145
38003,45-49,male,aian_nonhispanic,0.00018521948508983145
38003,45-49,female,aian_nonhispanic,0.00018521948508983145
38003,45-49,male,asian_nonhispanic,0.002130024078533062
38003,45-49,female,asian_nonhispanic,0.003611779959251713
38003,45-49,male,multiracial_nonhispanic,0.00027782922763474715
38003,45-49,female,multiracial_nonhispanic,0.00027782922763474715
38003,45-49,male,hispanic,0.0007408779403593258
38003,45-49,female,hispanic,0.00027782922763474715
38003,50-54,male,white_nonhispanic,0.02426375254676792
38003,50-54,female,white_nonhispanic,0.024448972031857752
38003,50-54,male,black_nonhispanic,0.0011113169105389886
38003,50-54,female,black_nonhispanic,0.00018521948508983145
38003,50-54,male,aian_nonhispanic,0.0004630487127245786
38003,50-54,female,aian_nonhispanic,0.001018707167994073
38003,50-54,male,asian_nonhispanic,0.001018707167994073
38003,50-54,female,asian_nonhispanic,0.0
38003,50-54,male,multiracial_nonhispanic,0.00018521948508983145
38003,50-54,female,multiracial_nonhispanic,9.260974254491573e-05
38003,50-54,male,hispanic,0.00027782922763474715
38003,50-54,female,hispanic,0.00027782922763474715
38003,55-59,male,white_nonhispanic,0.029264678644193368
38003,55-59,female,white_nonhispanic,0.028245971476199297
38003,55-59,male,black_nonhispanic,0.00027782922763474715
38003,55-59,female,black_nonhispanic,0.00018521948508983145
38003,55-59,male,aian_nonhispanic,0.0003704389701796629
38003,55-59,female,aian_nonhispanic,0.00027782922763474715
38003,55-59,male,asian_nonhispanic,0.0004630487127245786
38003,55-59,female,asian_nonhispanic,0.00027782922763474715
38003,55-59,male,multiracial_nonhispanic,9.260974254491573e-05
38003,55-59,female,multiracial_nonhispanic,0.00027782922763474715
38003,55-59,male,hispanic,0.0007408779403593258
38003,55-59,female,hispanic,0.0004630487127245786
38003,60-64,male,white_nonhispanic,0.03602518984997222
38003,60-64,female,white_nonhispanic,0.034172994999073905
38003,60-64,male,black_nonhispanic,0.0009260974254491572
38003,60-64,female,black_nonhispanic,0.00027782922763474715
38003,60-64,male,aian_nonhispanic,9.260974254491573e-05
38003,60-64,female,aian_nonhispanic,0.00018521948508983145
38003,60-64,male,asian_nonhispanic,9.260974254491573e-05
38003,60-64,female,asian_nonhispanic,9.260974254491573e-05
38003,60-64,male,multiracial_nonhispanic,0.00018521948508983145
38003,60-64,female,multiracial_nonhispanic,9.260974254491573e-05
38003,60-64,male,hispanic,0.00027782922763474715
38003,60-64,female,hispanic,0.00018521948508983145
